"","SP500","DowJones","Nasdaq","FTSE100"
"2024-10-30",5813.669921875,42141.5390625,18607.9296875,8159.60009765625
"2024-10-31",5705.4501953125,41763.4609375,18095.150390625,8110.10009765625
"2024-11-01",5728.7998046875,42052.19140625,18239.919921875,8177.2001953125
"2024-11-04",5712.68994140625,41794.6015625,18179.98046875,8184.2001953125
"2024-11-05",5782.759765625,42221.87890625,18439.169921875,8172.39990234375
"2024-11-06",5929.0400390625,43729.9296875,18983.470703125,8166.7001953125
"2024-11-07",5973.10009765625,43729.33984375,19269.4609375,8140.7001953125
"2024-11-08",5995.5400390625,43988.98828125,19286.779296875,8072.39990234375
"2024-11-11",6001.35009765625,44293.12890625,19298.759765625,8125.2001953125
"2024-11-12",5983.990234375,43910.98046875,19281.400390625,8025.7998046875
"2024-11-13",5985.3798828125,43958.19140625,19230.720703125,8030.2998046875
"2024-11-14",5949.169921875,43750.859375,19107.650390625,8071.2001953125
"2024-11-15",5870.6201171875,43444.98828125,18680.119140625,8063.60009765625
"2024-11-18",5893.6201171875,43389.6015625,18791.810546875,8109.2998046875
"2024-11-19",5916.97998046875,43268.94140625,18987.470703125,8099
"2024-11-20",5917.10986328125,43408.46875,18966.140625,8085.10009765625
"2024-11-21",5948.7099609375,43870.3515625,18972.419921875,8149.2998046875
"2024-11-22",5969.33984375,44296.51171875,19003.650390625,8262.099609375
"2024-11-25",5987.3701171875,44736.5703125,19054.83984375,8291.7001953125
"2024-11-26",6021.6298828125,44860.30859375,19174.30078125,8258.599609375
"2024-11-27",5998.740234375,44722.05859375,19060.48046875,8274.7998046875
"2024-11-28",NA,NA,NA,8281.2001953125
"2024-11-29",6032.3798828125,44910.6484375,19218.169921875,8287.2998046875
"2024-12-02",6047.14990234375,44782,19403.94921875,8312.900390625
"2024-12-03",6049.8798828125,44705.53125,19480.91015625,8359.400390625
"2024-12-04",6086.490234375,45014.0390625,19735.119140625,8335.7998046875
"2024-12-05",6075.10986328125,44765.7109375,19700.259765625,8349.400390625
"2024-12-06",6090.27001953125,44642.51953125,19859.76953125,8308.599609375
"2024-12-09",6052.85009765625,44401.9296875,19736.689453125,8352.099609375
"2024-12-10",6034.91015625,44247.828125,19687.240234375,8280.400390625
"2024-12-11",6084.18994140625,44148.55859375,20034.890625,8301.599609375
"2024-12-12",6051.25,43914.12109375,19902.83984375,8311.7998046875
"2024-12-13",6051.08984375,43828.05859375,19926.720703125,8300.2998046875
"2024-12-16",6074.080078125,43717.48046875,20173.890625,8262.099609375
"2024-12-17",6050.60986328125,43449.8984375,20109.060546875,8195.2001953125
"2024-12-18",5872.16015625,42326.87109375,19392.689453125,8199.099609375
"2024-12-19",5867.080078125,42342.23828125,19372.76953125,8105.2998046875
"2024-12-20",5930.85009765625,42840.26171875,19572.599609375,8084.60009765625
"2024-12-23",5974.06982421875,42906.94921875,19764.880859375,8102.7001953125
"2024-12-24",6040.0400390625,43297.03125,20031.130859375,8137
"2024-12-26",6037.58984375,43325.80078125,20020.359375,NA
"2024-12-27",5970.83984375,42992.2109375,19722.029296875,8149.7998046875
"2024-12-30",5906.93994140625,42573.73046875,19486.7890625,8121
"2024-12-31",5881.6298828125,42544.21875,19310.7890625,8173
"2025-01-02",5868.5498046875,42392.26953125,19280.7890625,8260.099609375
"2025-01-03",5942.47021484375,42732.12890625,19621.6796875,8224
"2025-01-06",5975.3798828125,42706.55859375,19864.98046875,8249.7001953125
"2025-01-07",5909.02978515625,42528.359375,19489.6796875,8245.2998046875
"2025-01-08",5918.25,42635.19921875,19478.880859375,8251
"2025-01-09",NA,NA,NA,8319.7001953125
"2025-01-10",5827.0400390625,41938.44921875,19161.630859375,8248.5
"2025-01-13",5836.22021484375,42297.12109375,19088.099609375,8224.2001953125
"2025-01-14",5842.91015625,42518.28125,19044.390625,8201.5
"2025-01-15",5949.91015625,43221.55078125,19511.23046875,8301.099609375
"2025-01-16",5937.33984375,43153.12890625,19338.2890625,8391.900390625
"2025-01-17",5996.66015625,43487.828125,19630.19921875,8505.2001953125
"2025-01-20",NA,NA,NA,8520.5
"2025-01-21",6049.240234375,44025.80859375,19756.779296875,8548.2998046875
